feature_set,n_features,model,RMSE,MAE,R2,time_s
A1_toa,4,XGBoost,0.03100896254181862,0.017145603895187378,0.7179727554321289,94.0593
B1_toa_atm_V,8,XGBoost,0.0266135074198246,0.01395468134433031,0.792259693145752,172.3812
B2_toa_atm_VH,12,XGBoost,0.02664477378129959,0.013966250233352184,0.7917712926864624,195.5648
B3_toa_atm_full,16,XGBoost,0.026637809351086617,0.013965153135359287,0.7918801307678223,219.488
C1_Tskin,9,XGBoost,0.026318997144699097,0.01368339080363512,0.7968320250511169,191.4976
C2_Tskin_SM_VOD,11,XGBoost,0.02092408761382103,0.011511239223182201,0.871586799621582,226.6595
C3_Tskin_LPDR,14,XGBoost,0.017585575580596924,0.009673253633081913,0.9092953205108643,274.5457
C4_Tskin_LPDR_LUT,16,XGBoost,0.017570102587342262,0.009654991328716278,0.9094548225402832,286.4324
D1_boa_1st,10,XGBoost,0.018107572570443153,0.009974563494324684,0.9038305878639221,217.1799
D2_boa_dl,10,XGBoost,0.018058327957987785,0.009945235215127468,0.9043529033660889,215.3009
D3_boa_1st_atm_V,18,XGBoost,0.017416320741176605,0.00956385675817728,0.9110329151153564,306.5747
D4_boa_dl_atm_V,18,XGBoost,0.017403755336999893,0.009552987292408943,0.9111612439155579,306.4743
D5_emiss_dl_atm_V,18,XGBoost,0.017355065792798996,0.00951957143843174,0.9116576313972473,305.4718
D6_full_boa_atm_V,26,XGBoost,0.01720864698290825,0.009433918632566929,0.9131419658660889,378.5429
D7_fwns_calculated,15,XGBoost,0.01769731007516384,0.009692727588117123,0.9081389904022217,283.9023
E1_landcover,16,XGBoost,0.01632232405245304,0.009115227498114109,0.9218587279319763,288.4544
E2_spatial_raw,16,XGBoost,0.01295041386038065,0.007344524841755629,0.9508091807365417,291.2062
E3_spatial_cyc,17,XGBoost,0.012580933049321175,0.007192953489720821,0.9535760283470154,302.3783
E4_temporal_raw,15,XGBoost,0.017133111134171486,0.00952843762934208,0.913902759552002,295.1517
E5_temporal_cyc,16,XGBoost,0.017238831147551537,0.009628036990761757,0.9128369688987732,302.8469
E6_spatial_temporal_cyc,19,XGBoost,0.012584369629621506,0.007196669466793537,0.9535506367683411,314.0132
E7_full_context,21,XGBoost,0.012192840687930584,0.007047027349472046,0.9563959836959839,321.926
F1_best,17,XGBoost,0.012580933049321175,0.007192953489720821,0.9535760283470154,302.598
F2_all,46,XGBoost,0.011743951588869095,0.006772495806217194,0.9595475196838379,457.2795
